D1,D2,H1,Motordist,X,Y,Z
164,0,0,912,-0.015317,0.035525,0.010325
164,0,0,912,-0.01532,0.034083,0.009475
164,0,0,912,-0.015449,0.033805,0.009306
164,0,0,912,-0.015643,0.033548,0.009104
164,0,0,912,-0.015642,0.033395,0.009099
164,0,0,1140,-0.026984,0.039392,0.014392
164,0,0,1140,-0.027298,0.039654,0.01507
164,0,0,1140,-0.027298,0.037812,0.012876
164,0,0,1140,-0.027339,0.037755,0.012984
164,0,0,1140,-0.027326,0.03775,0.012939
164,0,0,1368,-0.02765,0.043961,0.021627
164,0,0,1368,-0.028078,0.044643,0.021408
164,0,0,1368,-0.028266,0.044098,0.020829
164,0,0,1368,-0.02793,0.042916,0.020139
164,0,0,1368,-0.028198,0.042915,0.019957
0,164,0,912,-0.025466,0.02035,0.003341
0,164,0,912,-0.025497,0.02061,0.003528
0,164,0,912,-0.025523,0.020229,0.00353
0,164,0,912,-0.02552,0.020581,0.003585
0,164,0,912,-0.02552,0.020537,0.0035
0,164,0,1140,-0.025553,0.024059,0.004967
0,164,0,1140,-0.025587,0.024274,0.005218
0,164,0,1140,-0.025597,0.02419,0.005209
0,164,0,1140,-0.02559,0.024263,0.005329
0,164,0,1140,-0.025599,0.024448,0.005543
0,164,0,1368,-0.025501,0.028241,0.00751
0,164,0,1368,-0.025592,0.027609,0.007336
0,164,0,1368,-0.025581,0.027629,0.00733
0,164,0,1368,-0.025627,0.027896,0.007503
0,164,0,1368,-0.025619,0.027965,0.007616
0,164,130,1140,-0.025599,0.027187,0.008773
0,164,130,1140,-0.025628,0.02714,0.008708
0,164,130,1140,-0.025642,0.0273,0.008933
0,164,130,1140,-0.025648,0.027358,0.009006
0,164,130,1140,-0.025754,0.027201,0.008865
0,164,130,1368,-0.023679,0.030445,0.012616
0,0,164,912,-0.025192,0.023184,0.005782
0,0,164,912,-0.024852,0.023144,0.005717
0,0,164,912,-0.02515,0.023075,0.005721
0,0,164,912,-0.025154,0.022978,0.005624
0,0,164,912,-0.025177,0.022984,0.005617
0,0,164,1140,-0.025177,0.027121,0.009151
0,0,164,1140,-0.024855,0.027337,0.009195
0,0,164,1140,-0.025161,0.027001,0.009049
0,0,164,1140,-0.025152,0.026974,0.008962
0,0,164,1140,-0.025045,0.026939,0.009016
0,0,164,1368,-0.025132,0.030457,0.013439
0,0,164,1368,-0.025105,0.031135,0.01361
0,0,164,1368,-0.025278,0.030944,0.013329
0,0,164,1368,-0.025153,0.030935,0.0133
0,0,164,1368,-0.025154,0.029213,0.011494
170,0,130,1368,-0.024931,0.031892,0.013183
170,0,130,1368,-0.025044,0.031939,0.012919
170,0,130,1368,-0.02508,0.031987,0.012938
170,0,130,1368,-0.02512,0.031888,0.012845
170,0,130,1368,-0.025048,0.031692,0.012788
130,0,130,1368,-0.025154,0.030749,0.012861
130,0,130,1368,-0.024843,0.030303,0.012165
130,0,130,1368,-0.024876,0.030078,0.012012
130,0,130,1368,-0.024982,0.029216,0.012596
130,0,130,1368,-0.025023,0.031522,0.012676
